id,pun,tags,attribution
83,"Negara yang selalu menyalahkan diri sendiri?

Parahguay",negara,signore.farid
84,"Negara yang sering diucapkan sebelum berangkat kerja

Haiti-Haiti di Jalan",negara,
85,"Negara yang suka melucu

Guyona",negara,
86,"Negara yang tidak suka melucu?

Papua No Guyona",negara,faiz.ilham
87,"PaaS

Pun as a Service
",programmer,
88,"Pahlawan asal Jepang

Herohito","jejepangan, pahlawan",
89,"Pebalap F1 yang main instrumen musik

Rubens Barri-cello","F1, musik",kurioruu
90,"Pelari yang nilainya cuma bisa dua

Usain Bool
","atlet, programmer
",
91,"Pemain sepakbola yang berniat yakin tapi ternyata prokrastinasi

Hakan Yakin",sepakbola,
92,"Pembalap F1 asal Jawa

Jenson Mboten
","F1, jawa",
93,"Pembalap F1 yang berasal dari Minang

Niki La Uda","F1
",
94,"Pembalap F1 yang sering ikutan demo

Felipe Massa
",F1,
95,"Pembalap F1 yang sering menyendiri

Fernando Alone So",F1,tirta.rachman
96,"Pembalap Indonesia yang selalu bergegas cepat

Rio Hurryanto",F1,
97,"Pembuat anime tentang klub band musik SMA tapi ternyata lagu yang mereka nyanyikan dapat mempengaruhi kondisi psikologis seseorang

Satoshi K-On!","anime
",
98,"Penulis buku yang santai

George Ohwell ¯\_(ツ)_/¯
","penulis, buku
",
99,"Penyair yang mampu memberikan jawaban

Chairil Answer",penyair,
100,"Penyanyi Indonesia yang ingin melepas masa lajang

Agnes Maunikah","musik
",gungsut
101,"Penyanyi Indonesia yang punya klub sepakbola

Agnes Munich","sepakbola, musik",
102,"Penyanyi Jepang yang suaranya bikin kecanduan

Nagih Yahnagih","musik, jejepangan",
103,"Penyanyi wanita penyuka lelucon internet

Memes","musik, meme",mcatrane
104,"Penyanyi yang dicari pas main DotA

Rune Harune","DotA, musik
",
105,"Penyanyi yang namanya diabadikan sebagai teknik menggambar

Perspektif Dua Titiek",musik,
106,"Penyanyi yang suka makan kulit buah manggis

Ricky Mastin",musik,
107,"Perdana Menteri Inggris yang mantan guru

Margaret Teacher",inggris,
108,"Perpindahan penduduk perdesaan ke perkotaan yang menyebabkan naiknya tingkat stres dan berujung pada penuaan dini

Ubanisasi","planologi, insinyur",aster.riesling
109,"Persona crossover Pokemon

Persona 4 Goldeen","anime, game, pokemon",
110,"Perusahaan elektronik yang nasibnya tragis

Hitachi Uchiha","anime, manga, naruto
",
